n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
500,0.1,0,500010,3.053418612553568,39.26020883300225,2025-10-07 11:19:04
500,0.1,2,500012,2.799499957517969,39.5198875409842,2025-10-07 11:19:05
500,0.1,4,500014,3.1027064150861046,39.46450004199869,2025-10-07 11:19:05
500,0.1,3,500013,3.268423738221748,39.49227712498396,2025-10-07 11:19:05
500,0.1,7,500017,2.8125661804232895,39.36178166701575,2025-10-07 11:19:05
500,0.1,5,500015,3.4897886899294197,39.560619000025326,2025-10-07 11:19:05
500,0.1,1,500011,4.297585326929391,39.75105870800326,2025-10-07 11:19:05
500,0.1,6,500016,3.6761786529710716,39.70169033299317,2025-10-07 11:19:05
500,0.1,8,500018,3.1046633115827826,17.29719070799183,2025-10-07 11:19:22
500,0.1,9,500019,3.7152176903098018,17.104280375002418,2025-10-07 11:19:22
