n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
100,0.1,0,100010,0.6517722859464484,0.006969792011659592,2025-10-08 17:59:39
100,0.1,1,100011,0.1251737772495668,0.0035981250111944973,2025-10-08 17:59:39
100,0.1,2,100012,0.3006401900532402,0.0033388750161975622,2025-10-08 17:59:39
100,0.1,3,100013,0.49249220619777423,0.019393375026993454,2025-10-08 17:59:39
100,0.1,4,100014,0.10249798264706327,0.0355970420059748,2025-10-08 17:59:39
100,0.1,5,100015,0.2194786219791619,0.00343841704307124,2025-10-08 17:59:39
100,0.1,6,100016,0.786103070157738,0.022431040997616947,2025-10-08 17:59:39
100,0.1,7,100017,0.7790141258227135,0.006627957976888865,2025-10-08 17:59:39
100,0.1,8,100018,1.331668718001029,0.010994917014613748,2025-10-08 17:59:39
100,0.1,9,100019,0.7541877321336204,0.016006709018256515,2025-10-08 17:59:39
100,0.1,10,100020,0.1834480057225991,0.006080417020712048,2025-10-08 17:59:39
100,0.1,11,100021,0.8282014729657621,0.0037274580099619925,2025-10-08 17:59:39
100,0.1,12,100022,0.7419988410115045,0.006182083976455033,2025-10-08 17:59:39
100,0.1,13,100023,0.1282336910957941,0.003383208008017391,2025-10-08 17:59:39
100,0.1,14,100024,1.2631411402339823,0.0777994169620797,2025-10-08 17:59:39
100,0.1,16,100026,0.23917579816454088,0.006718749995343387,2025-10-08 17:59:39
100,0.1,15,100025,1.901745455929098,0.02941975003341213,2025-10-08 17:59:39
100,0.1,18,100028,0.13134932634777868,0.005740792024880648,2025-10-08 17:59:39
100,0.1,17,100027,0.2803541684448509,0.03076604101806879,2025-10-08 17:59:39
100,0.1,19,100029,0.1454836025023815,0.018595832982100546,2025-10-08 17:59:39
100,0.2,0,100020,0.20614089579229167,0.004985124978702515,2025-10-08 17:59:45
100,0.2,1,100021,0.1790148837297938,0.004846125026233494,2025-10-08 17:59:45
100,0.2,2,100022,0.22898626684693504,0.11261479195673019,2025-10-08 17:59:45
100,0.2,3,100023,0.03640689937585137,0.014801333949435502,2025-10-08 17:59:45
100,0.2,4,100024,0.37939896165757114,0.03248541697394103,2025-10-08 17:59:45
100,0.2,5,100025,0.5840691010931859,0.0035173330106772482,2025-10-08 17:59:45
100,0.2,6,100026,0.11025496431646092,0.003435457998421043,2025-10-08 17:59:45
100,0.2,7,100027,0.4219938588597279,0.003406458010431379,2025-10-08 17:59:45
100,0.2,8,100028,0.12542498186524564,0.0033899170230142772,2025-10-08 17:59:45
100,0.2,9,100029,0.15991617020340085,0.022740124957636,2025-10-08 17:59:45
100,0.2,10,100030,0.21713358245669753,0.009826166031416506,2025-10-08 17:59:45
100,0.2,11,100031,0.07878332975596858,0.005061875039245933,2025-10-08 17:59:45
100,0.2,12,100032,0.283124337710313,0.003461875021457672,2025-10-08 17:59:45
