n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse,DP_runtime_mean,DP_runtime_std
100,0.1,0.5693080106303323,0.1099015695695277,0.0,0.015840500057674945,0.017804133819017128
100,0.2,0.21862649809497844,0.03019904019862703,0.0,0.015827429143246263,0.024965938386171123
100,0.5,0.043305981564169496,0.006392059004064977,0.0,0.02192694994737394,0.022310203465307397
100,1.0,0.012567437324685862,0.002347054738560484,0.0,0.018698510489775798,0.018152649588552165
500,0.1,0.09156120194730269,0.007685363752231909,0.0,0.16342559588956646,0.0335513903559112
500,0.2,0.03684317443541761,0.004229568005087762,0.0,0.23361692914913873,0.05335872317519771
500,0.5,0.0063680659396790325,0.0007297773293283839,0.0,0.21506933960481547,0.03497734888861554
500,1.0,0.001493260010527729,0.00020155561004526885,0.0,0.13702475194877478,0.058792791484751084
1000,0.1,0.03881122030880784,0.004465735395906956,0.0,0.4376668604440056,0.09664482809776055
1000,0.2,0.01240070480556895,0.0013229997354794474,0.0,0.5630029666470364,0.10184694406546942
1000,0.5,0.0021082991173139443,0.00016637467873994153,0.0,0.5035232810972957,0.052065997930914855
1000,1.0,0.0005475758080961109,4.1283894465900576e-05,0.0,0.46663703124504535,0.09959827847939318
2000,0.1,0.017983313642000197,0.0020593159223610213,0.0,0.8928182125091553,0.1462316855805266
2000,0.2,0.006378572939560047,0.0007346253063195092,0.0,1.293661095792777,0.33905406114180464
2000,0.5,0.0007744632188009875,5.007858849882345e-05,0.0,1.8745402083004592,0.5432976355762503
2000,1.0,0.00023368949599000794,1.6099195839408356e-05,0.0,1.6797870853479253,0.36829657093557394
